feature	VK_170831_025	VK_170831_037	VK_170831_043	VK_170831_073	VK_170831_079	VK_170831_103	VK_170831_115	VK_170831_163	VK_170831_169	VK_170831_175	VK_170831_187	VK_170901_037	VK_170901_055	VK_170901_061	VK_170901_091	VK_170901_097	VK_170901_121	VK_170901_139	VK_170901_151	VK_170901_163	VK_170901_175
strain	daf16	daf16	daf16	daf16	N2	daf16	N2	daf16	N2	daf16	N2	N2	N2	N2	daf16	N2	daf16	daf16	N2	N2	N2
575.8355_65.6	1672630.0	2410180.0	1846478.0	1566674.0	 537088.5	 680590.9	1394717.0	1346397.0	 956548.5	1766663.0	1282255.0	 964015.7	2895011.0	 924953.2	3148821.0	1992521.0	 842345.9	2206290.0	 804713.3	2187288.0	 913233.2
575.9383_97.9	2671424.0	3159945.0	 159939.4	5278304.0	1556439.0	 200444.6	 928014.8	3253669.0	 691510.1	2995820.0	3535078.0	 308690.8	2464809.0	 410865.1	2924356.0	1127207.0	2601752.2	      0.0	      0.0	2468664.0	1085277.7
576.2834_58.7	 11689.1	 11689.1	580489.6	 11689.1	 11689.1	 11689.1	 11689.1	 11689.1	 11689.1	 11689.1	 11689.1	 11689.1	     0.0	     0.0	481243.2	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0
576.3325_25	 985854.3	 526224.8	1331050.0	 461408.1	 632727.7	 419834.5	 356320.5	 571860.9	 663776.1	 800352.4	 885158.8	 283321.7	 366907.9	 465344.2	 682208.9	 669747.8	1062743.1	 540151.7	 151578.3	 778479.6	 780688.7
576.6826_62	 8908255.0	  191554.4	 4278942.0	10318690.0	 2036260.0	 4019454.0	12776800.0	10440270.0	 3286648.0	 4061004.0	 4265676.0	 6667408.0	       0.0	 3082274.0	 2546400.0	 2146821.0	 1079908.7	 6627575.0	 3365158.0	 3885997.0	 3811502.7
576.7013_55.8	 5687176.0	  201028.9	12904040.0	  201028.9	  771029.9	  201028.9	13846660.0	  201028.9	  201028.9	  201028.9	  201028.9	  201028.9	13513350.0	 6611411.0	       0.0	  359796.0	 8632591.3	       0.0	 3218998.0	  482964.8	  208784.3
576.9372_218.8	 3458599.0	 3960374.0	 3151958.0	12109710.0	  935242.7	 1092460.0	 5054446.0	 3924705.0	  321223.2	 2010971.0	 2153235.0	 1477957.0	 3854906.0	  512814.1	 3184324.0	 2087262.0	 1357272.0	 1229154.0	  761663.7	 3990227.0	  304823.7
577.104_287.7	     0.0	     0.0	 44641.6	910905.4	     0.0	   122.5	     0.0	     0.0	     0.0	542457.1	     0.0	205379.4	 46428.3	 42571.0	 42571.0	 42571.0	 42571.0	 46994.5	608705.8	281083.8	 42571.0
577.8478_64.4	6161806.0	 199017.7	2681937.0	5232941.0	2335342.0	8326538.0	1709973.0	2613990.0	2730803.0	1940743.0	2529391.0	2314858.0	1550141.0	 797935.8	2581644.0	2798175.0	2172157.0	5547413.0	2278651.0	2833526.0	3890874.3
578.3543_30.3	  34720.1	  34720.1	2906500.0	  34720.1	  34720.1	1633999.0	1283585.0	  34720.1	  34720.1	  34720.1	1410621.0	 882572.0	 605926.1	 822237.0	      0.0	1185629.0	2219854.7	 752681.9	 806556.3	2395282.0	 450429.1
