"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"376.2188_128.1","14560.6","377236.3","1183132","512489.9","14560.6","14560.6","14560.6","24.6","24.6","24.6","14560.6","1489623","14560.6","494825.6","466191.5","355889.5","24.6","1194475","609806.3","1883070","24.6"
"376.2268_28.8","14263.7","14263.7","1305124","14263.7","48541.7","14263.7","14263.7","16942","16942","16942","14263.7","6672760","545380.9","2596087","1707859","380997.5","873953.8","1964070","1060569","7394120","16942"
"376.3421_27.3","154886800","76106450","120922900","69415250","80501560","164214400","178269200","186620500","99127994","102462500","123808200","74003360","168470500","187919300","179562400","88607530","163419300","164680300","217206900","143055200","150984858"
"376.3692_24.9","86859.5","86859.5","86859.5","86859.5","115214.5","691721.3","86859.5","369459.7","69946.9","24.6","86859.5","134016.3","128744.4","86859.5","308829.2","24.6","534703.9","24.6","1639981","18139700","24.6"
"376.6777_54.6","7580458","14681690","15729520","12790590","15096930","2082130","613687.9","9664172","9612031.6","3501080","856292.2","11258510","2295928","4730039","5756509","10605190","7707690","9654805","4045698","24.6","3369621.2"
"377.1455_41","21634590","28601830","16236230","30054630","4648761","20251590","27525550","25953080","14548563.5","7034661","1432406","13032830","829097.1","20136330","6581930","19236980","1000571","18524620","6974396","25515590","334336.7"
"377.2685_26.1","114847","585022.2","26132","26132","26132","26132","289065","450361.4","513673.7","1936735","26132","26132","26132","1700784","2684040","658612.5","24.6","24.6","2041952","2316431","24.6"
"377.3456_26.7","34634450","17444980","26769080","15486670","18206490","37445410","40140690","43517700","21519742","23709030","27854270","16164280","37400370","42485590","41371600","20559830","37070180","36719970","48909440","30966970","32392187"
"377.9346_46.1","713166.7","84179.2","901979.3","84179.2","1125071","84179.2","793657.5","855835.5","674802.3","2273280","369044.4","1226413","356236.7","1334766","1579077","1542828","1009846","2054579","2032612","2183798","344947.4"
"377.9842_74.8","2053926","3385050","1181029","2598842","12787800","1482300","2633672","2983274","2252020.3","643070.5","36473.4","1329822","36473.4","2165390","36473.4","2768588","24.6","24.6","24.6","7405692","24.6"
"378.0263_68.2","2672477","4578090","2797021","5712499","773388.8","3410017","5008331","3683862","3264176","1877642","37447.1","3083686","37447.1","2813578","3462872","2996373","675627.8","4436111","1186475","5641556","24.6"
"378.0611_69.7","547790.1","65026.9","2008839","1149447","65026.9","1026305","1653257","1743180","1182983.8","24.6","65026.9","299286.7","65026.9","526493.9","65026.9","1090496","24.6","1493741","2256453","3390998","24.6"
"378.069_110.5","17510120","22461340","2067966","21157620","4739258","11426090","14478200","10828480","9385920","2129147","911372.7","8852044","524569.7","9354933","2027039","16993970","334164.4","5067271","3049264","10697240","590267.3"
"378.0714_294.1","1450795","3042852","582436.1","2835831","165871.1","1428678","3181646","1868691","550249","87674.8","176666.6","1003639","20095","1343156","103003.1","2589516","24.6","1050626","211665.3","3190910","77411.9"
"378.116_151.8","13040430","11582600","5831098","20775220","2653827","11478810","32015650","15745070","4553198","2089168","1650060","16089690","1006379","22060740","3755960","17862600","1341606","14128690","9574424","31618830","2968558"
"378.116_30.3","423540.6","983057.2","2418791","3119931","710868","1480120","334721.9","605931.7","302378.2","1076362","298769.7","1706255","238479","1300755","980359.9","1840554","414154.5","2244124","151333.2","2391252","430721.7"
"378.1487_41.8","3752374","4339922","2030954","4831037","861490.9","3210958","4407948","4509974","2446617.6","700999.9","37953.4","1912688","37953.4","3304545","896091","3091994","24.6","2828363","1013434","3596285","156298"
"378.2392_31.5","24.6","3062.9","16158830","24.6","948115","24.6","24.6","131559.3","131559.3","4593072","1303152","21914290","2162365","9301701","7210845","2962200","2760447","9252644","5442518","28285850","976181.8"
"378.2646_23.2","1124195","428925.4","1056340","522003.4","808440.8","946877.9","565905.9","706283.1","24.6","984906.8","654767","912897.8","858497.5","121677.9","1240413","538403","1978383","3299903","1423200","24.6","1311458.2"
"378.3487_26.5","5325301","2393408","3512456","1731432","1815882","3795264","4124568","4324726","1355337","3297603","2930529","1339546","3865584","4296456","4522849","1989448","3551887","3908473","5428450","2979405","3424734"
"379.2424_28.7","4584.7","452424","3127823","277173.8","449340.4","513666.4","135411.7","121887","119092.3","794506.5","24.6","3895963","47127.3","1792096","1377951","695289.9","372384.5","1473583","926621.3","5550029","100436.7"
