"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"640.6042_55.4","-0.51995440","-0.23943707"," 0.92683930","-0.17998630"," 0.18380205","-0.20425605","-0.34275804"," 1.18207403"," 0.07831615"," 0.37672600"," 0.58203340","-0.58552427"," 0.57988960","-1.07981367"," 0.86888997","-3.42685250"," 0.42093199"," 1.14262103","-0.64033803"," 0.23443166"," 0.64236514"
"640.7305_67","-0.55306002","-0.45221150","-0.60001605"," 0.75997799"," 0.07086448","-0.37223835","-0.46801949"," 1.06360203"," 0.14357921","-1.21361234"," 1.06612510","-0.60001605"," 0.88232906"," 0.96366164"," 0.51441276","-1.60519629"," 1.37900051","-0.54175285"," 1.08762257","-2.34029033"," 0.81523789"
"641.4601_27.9","-0.6495767","-0.4616508","-0.7490465","-0.4092337"," 0.2416170","-0.3614135","-0.5197806"," 0.4344347","-2.1620400"," 0.6113939"," 0.7274515"," 0.3619573"," 0.7398804"," 0.3273086"," 2.2646740","-0.5812664","-1.4940665"," 1.5428520"," 0.4588089"," 0.6400407","-0.9623442"
"642.7068_77.1"," 0.9057154","-0.1562672","-0.3868640"," 1.0448532"," 0.1590411","-0.1192538","-0.1986007","-1.6012078"," 0.2986608","-1.4098671"," 0.4009098"," 0.9503001"," 0.3982606"," 0.1359518"," 1.1172108"," 0.9113100","-1.1394750"," 0.8741851"," 1.0789744","-2.4447795","-0.8190579"
"643.1618_108.5"," 0.44122435"," 0.81233091"," 0.52305368"," 0.96869529","-0.67484324"," 0.26845125"," 0.61333221"," 0.10412518"," 1.37159252","-0.17375706","-2.62594738"," 0.64257465","-2.59187515"," 0.35760889","-0.42588279"," 0.32877523","-0.04738212","-0.62085676","-0.00982238"," 0.40982750"," 0.32877523"
"643.4025_28.7","-1.3964224","-1.3964224"," 0.8726690","-1.3964224","-1.3672427","-1.3964224","-1.3964224"," 0.2706677"," 0.3252698"," 0.8913107","-0.5306801"," 0.9912708","-0.5155008"," 0.9885408"," 0.9170632"," 0.1857364"," 0.5254614"," 0.7891171"," 0.9366330"," 0.9901381"," 0.7116575"
"643.8229_66.3","-1.5549398","-1.4328693"," 0.6572622"," 0.8181471"," 1.1650268","-1.3990585","-1.4765983","-0.4275064"," 0.5757276","-0.2750184"," 1.1455492"," 0.4271998"," 0.8076548"," 0.4898862","-1.1072915"," 1.0592170"," 0.7618624","-1.0514006"," 0.8310774","-0.7915207"," 0.7775932"
"643.8627_65.8"," 0.42315469","-1.63277904","-2.29324496"," 0.92768470"," 0.43377996"," 1.14945634","-0.04740876"," 0.33496979","-0.58772062"," 0.13177412"," 0.57520690"," 1.49758437"," 0.83517698","-1.10248930","-0.26503387","-0.03025704"," 0.33267705","-1.74648847","-0.44180425"," 0.77762737"," 0.72813405"
"643.8693_79.5"," 0.3600112294"," 0.5183351969","-0.8259181031"," 0.3935871211"," 0.7913117575"," 0.2489844941"," 0.2161222799"," 0.5532302201"," 0.5171739103","-0.0017307349"," 0.0548097413"," 0.4986990213"," 0.5525948479"," 0.1816821396","-0.6478850110"," 0.0031460177","-0.0002550867"," 0.0031460177","-4.0090278686","-0.0193509911"," 0.6113338007"
"645.123_85.1","-1.10773898","-0.93117397","-1.05404854","-0.92642817"," 1.77206625","-0.88603948","-0.94680140"," 0.43571021"," 1.66226440"," 0.55114575","-0.08613987","-0.90687164"," 1.80121971","-1.32163123","-0.56116890"," 0.33060099"," 0.78706962","-0.01093487"," 0.35815650"," 0.11818837"," 0.92255527"
"645.4978_26.6"," 0.26202267"," 0.28619738"," 0.21281567","-0.02345015"," 0.37936406"," 0.27562635"," 0.16214955"," 0.31158099","-0.04335138"," 0.31071813"," 0.88304916","-0.04876436"," 0.95133734","-0.42937134","-0.33753584","-3.90252987"," 0.72623736"," 0.27122737","-0.27466673","-0.84361481"," 0.87095846"
