"","Fold Change","log2(FC)"
"380.8344_47.1",0.2488,-2.007
"273.0955_106.2",3.9972,1.999
"336.0669_118.5",0.25049,-1.9972
"851.5397_34.6",0.25068,-1.9961
"181.1259_94.4",0.25094,-1.9946
"343.8844_71.1",3.9836,1.9941
"629.4223_31.4",0.25143,-1.9918
"692.5953_52.5",0.25176,-1.9899
"523.2758_34.1",0.2519,-1.9891
"228.1173_99.3",3.9656,1.9875
"1122.8535_107.5",3.9504,1.982
"374.2399_102",0.25321,-1.9816
"360.2239_28.5",0.25339,-1.9806
"382.8319_47.8",0.25394,-1.9774
"190.9954_51.1",3.9237,1.9722
"346.197_40.2",0.25514,-1.9706
"533.9115_70.1",3.9138,1.9686
"477.3097_30.7",0.25605,-1.9655
"145.5766_120.5",3.8933,1.961
"317.2261_32.4",0.25718,-1.9592
"124.0645_34.3",3.8878,1.959
"315.9776_67.7",3.8714,1.9529
"601.3911_36.5",0.25855,-1.9515
"259.0282_73.9",0.25867,-1.9508
"274.176_37.2",0.25874,-1.9504
"338.0644_86.9",0.25943,-1.9466
"292.1141_98.3",3.8539,1.9463
"416.2501_34.9",0.25991,-1.9439
"230.9902_52.9",0.26046,-1.9409
"1155.0279_107.9",3.8392,1.9408
"733.5565_34.2",0.26056,-1.9403
"374.2288_35.2",0.26081,-1.9389
"302.2074_34.3",0.26137,-1.9358
"364.2233_30",0.26143,-1.9355
"777.0625_293.7",0.26183,-1.9333
"507.1538_41.1",3.8183,1.9329
"192.1058_112.3",0.26206,-1.932
"318.2025_38.8",0.26231,-1.9306
"540.6609_67.5",3.8101,1.9298
"227.5273_133.5",3.8024,1.9269
"186.1055_290.5",0.26316,-1.926
"333.2212_35.9",0.26356,-1.9238
"435.6958_119.4",3.7871,1.9211
"466.2746_36.5",0.26651,-1.9077
"686.5805_55.1",0.26734,-1.9033
"429.1526_122.6",3.7385,1.9024
"132.5334_128.7",3.7332,1.9004
"122.5864_102.8",3.7296,1.899
"717.8807_97.7",3.7293,1.8989
"216.5488_222.9",0.26849,-1.8971
"373.9781_98.8",3.713,1.8926
"266.9514_196.6",0.26958,-1.8912
"344.8752_175.4",0.27049,-1.8864
"789.06_59.9",0.27049,-1.8864
"643.4025_28.7",0.27109,-1.8832
"640.7305_67",0.27142,-1.8814
"108.5764_115.9",3.6798,1.8796
"617.3575_65.4",0.27177,-1.8795
"217.1185_73.4",3.6767,1.8784
"942.7504_80.1",0.27207,-1.8779
"825.0243_59.8",0.27289,-1.8736
"238.1074_27.7",3.6589,1.8714
"124.0144_34.4",3.6579,1.871
"388.0898_70",3.6561,1.8703
"416.9369_69.7",0.27355,-1.8701
"187.1554_31.1",3.6451,1.866
"137.0751_42.4",3.6416,1.8646
"331.242_30.3",0.27604,-1.857
"346.2332_33.7",0.27609,-1.8568
"291.1662_127.1",0.27638,-1.8553
"342.488_224",3.6168,1.8547
"285.0612_102.9",3.6117,1.8527
