"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"127.039_228.9",-0.015304,-0.020537,0.013916,-0.0043149,-0.01958,-0.020154,0.023107,-0.028495
"127.0754_23.1",0.013194,0.0037265,0.013845,0.0042259,-0.031265,-0.021565,0.032437,-0.02844
"127.3964_45.2",-0.0027583,0.017211,-0.0039348,-0.00053116,-0.00021881,-0.0041857,0.022019,-0.033987
"128.0318_88.9",-0.016583,0.018903,-0.021326,-0.014055,0.02032,-0.026784,-0.0049392,0.024564
"128.0762_96.8",0.0084809,0.0028966,-0.024857,0.047088,-0.019488,-0.0024494,-0.0074015,0.0049129
"128.9824_198.6",0.0049787,-0.0048413,-0.0092994,-0.033894,0.019898,-0.010833,0.014493,-0.026412
"129.0662_32.4",0.011298,0.011833,-0.017211,-0.021904,0.028048,-0.020605,-5.1873e-05,-0.025914
"129.091_24.6",0.0021252,-0.021326,0.017363,0.015143,-0.0059041,-0.029424,0.029921,-0.01815
"129.1022_284.7",0.03402,-0.0061721,-0.015306,0.020494,-0.015037,-0.00066019,-0.0096315,-0.01055
"129.1135_105.8",-0.016373,0.0083572,-0.026362,-0.0089512,0.023289,-0.031098,-0.007061,0.028987
"129.1386_293.4",-0.026286,0.032592,-0.0148,0.0072516,0.015801,0.010306,-0.013411,-0.0097942
"129.1386_132.1",-0.022039,0.006675,-0.00269,0.020346,-0.015444,0.0066441,0.0067686,-0.0066762
"129.3168_42",-0.0018779,-0.01426,-0.0049103,0.010132,0.0038964,0.032564,-0.04396,0.0091872
"129.5761_116.1",-0.010039,0.0067401,-0.017467,0.0026276,0.012018,-0.027937,-0.00252,0.012916
"129.5943_285.7",0.020055,0.0031742,-0.019662,0.026025,-0.03737,0.012083,-0.012987,-0.012944
"130.0231_83.8",0.00068376,0.010423,0.0030069,-0.032133,-0.0011993,-0.023924,0.013762,-0.0047421
